id,symbol,direction,score,opened_at,pnl_pips_flat12,outcome_flat12,actual_pnl_pips,threshold,cum_pips
89,NZDUSD,LONG,85.0,2026-04-10 02:00:58.659637+00:00,-15.183738373498734,SL,-9.100000000000774,70,68.08596326360771
91,EURGBP,LONG,75.0,2026-04-10 08:51:48.001246+00:00,-8.866864357001125,SL,3.1800000000001827,70,59.21909890660658
92,EURGBP,SHORT,90.0,2026-04-10 15:36:51.456834+00:00,-8.099999999999774,SL,-8.099999999999774,70,51.11909890660681
93,USDCHF,SHORT,79.85,2026-04-10 17:16:17.710045+00:00,-17.828218687760966,SL,-17.800000000000036,70,33.29088021884584
94,EURJPY,LONG,86.29,2026-04-13 00:39:36.434032+00:00,12.0,TP,10.29356601327038,70,45.29088021884584
95,EURUSD,LONG,84.17,2026-04-13 02:01:00.450274+00:00,12.0,TP,-3.4000000000000696,70,57.29088021884584
96,CHFJPY,SHORT,70.0,2026-04-13 03:00:15.514793+00:00,12.0,TP,-21.000000000000796,70,69.29088021884584
97,EURGBP,LONG,85.0,2026-04-13 06:46:11.868765+00:00,-10.39993987652199,SL,-9.799999999999809,70,58.89094034232385
99,USDCHF,SHORT,79.85,2026-04-13 11:15:23.715615+00:00,-17.599999999999838,SL,-17.599999999999838,70,41.290940342324014
100,NZDUSD,LONG,70.0,2026-04-13 14:00:44.730523+00:00,12.0,TP,29.94057417466922,70,53.290940342324014
103,NZDUSD,LONG,85.0,2026-04-14 23:45:56.404833+00:00,-9.936103163195042,SL,-9.936103163195042,70,43.35483717912897
104,CHFJPY,LONG,85.69,2026-04-15 01:41:33.683612+00:00,-30.810327897549428,SL,-20.09999999999934,70,12.544509281579543
106,EURJPY,LONG,90.0,2026-04-15 05:07:27.171492+00:00,12.0,TP,2.5200000000000955,70,24.544509281579543
107,USDCHF,SHORT,70.0,2026-04-15 08:12:17.411997+00:00,-11.200000000000099,SL,-11.2000000000001,70,13.344509281579445
109,EURUSD,LONG,100.0,2026-04-15 15:17:59.553839+00:00,12.0,TP,0.99999999999989,70,25.344509281579445
110,CHFJPY,SHORT,70.0,2026-04-15 17:00:53.282377+00:00,12.0,TP,20.057100903511017,70,37.34450928157945
111,USDCHF,SHORT,90.0,2026-04-16 02:00:59.143716+00:00,12.0,TP,10.7999999999997,70,49.34450928157945
112,EURJPY,LONG,74.57,2026-04-16 07:22:34.395502+00:00,12.0,TP,12.899999999999068,70,61.34450928157945
114,GBPJPY,LONG,85.0,2026-04-16 14:00:44.911201+00:00,-22.90000000000134,SL,-22.90000000000134,70,38.44450928157811
116,EURUSD,LONG,90.0,2026-04-17 06:48:27.501524+00:00,12.0,TP,20.199999999999108,70,50.44450928157811
121,EURAUD,LONG,70.0,2026-04-19 23:00:25.857185+00:00,12.0,TP,13.284912026049422,70,62.44450928157811
122,EURGBP,SHORT,70.0,2026-04-20 08:00:51.107737+00:00,-8.699999999999264,SL,-2.2999999999995246,70,53.74450928157884
125,USDCHF,SHORT,82.93,2026-04-20 14:00:50.968099+00:00,-12.15537803887723,SL,-12.15537803887723,70,41.58913124270161
126,GBPJPY,SHORT,80.0,2026-04-20 14:01:30.342782+00:00,-25.100000000000477,SL,-25.100000000000477,70,16.489131242701134
130,EURGBP,LONG,85.0,2026-04-21 09:00:09.740344+00:00,-11.392241804146774,SL,-8.500000000000174,70,5.09688943855436
131,EURAUD,SHORT,85.0,2026-04-21 17:00:05.141805+00:00,12.0,TP,6.360000000001698,70,17.09688943855436
133,EURJPY,SHORT,77.5,2026-04-21 20:00:21.432498+00:00,12.0,TP,-24.72620478274621,70,29.09688943855436
136,NZDUSD,LONG,90.0,2026-04-22 12:00:42.769808+00:00,12.0,TP,2.9999999999996696,70,41.096889438554356
137,EURUSD,SHORT,70.0,2026-04-22 14:00:28.291031+00:00,12.0,TP,24.29999999999932,70,53.096889438554356
139,EURAUD,SHORT,73.33,2026-04-23 15:00:07.371980+00:00,-31.200000000000117,SL,-31.69999999999895,70,21.89688943855424
141,EURJPY,LONG,75.0,2026-04-23 23:00:51.486677+00:00,-17.826422918963658,SL,-17.900000000000205,70,4.070466519590582
